measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1990,0.02553700575417315,0.028169227786887227,0.01654449910424208
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1990,0.01577326893924858,0.017678186855356888,0.008841080447409198
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1990,19.188360723130316,23.226217654817155,11.982209364974088
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,10.377899035291936,12.335594702104244,5.800603511530278
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1991,0.02604228567474337,0.028448352762259713,0.017039383470588063
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1991,0.016135606968969256,0.01787284052373188,0.008854254124682374
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1991,19.48348838773722,23.49152258410126,12.689219117714163
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,10.523170344258354,12.561139078765823,5.674973618680824
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,2,Percent,1991,0.04300936837380113,0.04576901818182292,0.040367956541862156
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,2,Percent,1991,0.028748259802403857,0.03193126698204216,0.026912257515154612
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,32.18504339517717,37.975796686847524,26.89452711306328
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,18.755500988280208,22.0661186389935,15.90171808762063
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1994,0.015041166895847875,0.016948078083314624,0.012719267301989922
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1994,0.009969424973273262,0.011392270983420336,0.008369891168026136
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1994,12.661885360790462,14.840374979435106,10.384128997512068
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1994,8.29406494925835,9.802834509765693,6.780671031016326
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,2,Percent,1994,0.017715454487484125,0.0198647430130936,0.015737247483142668
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,2,Percent,1994,0.010550743372605536,0.011660005445769325,0.009453463986405099
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,3,Rate,1994,14.919018447271103,17.6823568865326,12.52142385178302
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,3,Rate,1994,8.77796352225873,10.149237998641784,7.432897042957855
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1992,0.008801006644348503,0.009618738493168622,0.006872241986741463
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1992,0.004973157266805974,0.0054574383924351245,0.003545545103029248
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1992,8.08748904943466,9.019122007043709,6.302421050376889
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1992,3.9973338271092667,4.4468096076879675,2.8635021102716025
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,2,Percent,1992,0.019120245621736136,0.020182592943059074,0.018118045720043552
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,2,Percent,1992,0.014018129123429866,0.014918344554167046,0.013196356101074223
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,3,Rate,1992,17.56784543923316,18.79633182256869,16.352913758731177
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1992,11.266400825371402,12.050987089733155,10.507705073834709
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1996,0.028471241503443215,0.030578688741818173,0.01852739227468445
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1996,0.017723789295052746,0.019525762912388184,0.009055126993869655
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1996,20.508675516230802,23.732055875167326,13.160788747728445
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1996,10.74189537485301,12.496234166395645,5.517856715869044
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,2,Percent,1996,0.04358773010061174,0.04633516469988785,0.04171294940940372
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,2,Percent,1996,0.029834535973090583,0.032951125746061724,0.028267969497948704
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,3,Rate,1996,31.40166065717455,35.41073290964887,27.90882441987712
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,3,Rate,1996,18.082061971293037,20.715653380794365,15.963155209594827
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,2,Percent,1990,0.0429985331150587,0.045755622042868295,0.040172889936694045
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,2,Percent,1990,0.028720396163608494,0.031689694801684494,0.026609014764367292
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,3,Rate,1990,32.294360053445864,38.04764873093856,26.519245903785755
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,18.903488295220846,22.02225273584994,15.767009395464854
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1993,0.02691129170499204,0.02912489071291365,0.017499120507501693
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1993,0.016997937731860136,0.018802460059015196,0.009119693323713122
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1993,19.799173892200283,23.365884995320066,12.38670946660956
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1993,10.822141123155712,12.808070516739077,5.879462729711005
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,2,Percent,1993,0.043149541221913765,0.04561058433676252,0.04094160889369287
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,2,Percent,1993,0.02930637082338904,0.03250727031540575,0.027482019713861584
1,Deaths,6,China,1,Male,22,All ages,414,Stomach cancer,3,Rate,1993,31.72946578390262,36.85224376105894,27.05153225048776
1,Deaths,6,China,2,Female,22,All ages,414,Stomach cancer,3,Rate,1993,18.656715785036482,21.428492742876905,15.975674986390802
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1992,0.01435670323692386,0.016312255437504416,0.01213861178503032
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1992,0.009444942315639164,0.010806065674463908,0.008080389433669715
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1992,12.094182141233594,14.26431883112802,10.025381852324628
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1992,7.038633948672102,8.403233927076464,5.82437562033848
